2022-06-10 07:45:41,701 (INFO)	||| ETL to obtain BTC historical data finished!
2022-06-10 07:51:58,294 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-10 07:51:59,521 (INFO)	||| Initing data transform of BTC historical data!
2022-06-10 07:51:59,523 (INFO)	||| ETL to obtain BTC historical data finished!
2022-06-11 17:11:10,532 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-11 17:11:11,762 (INFO)	||| Initing data transform of BTC historical data!
2022-06-11 17:11:11,767 (INFO)	||| ETL to obtain BTC historical data finished!
2022-06-11 17:12:18,169 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-11 17:12:19,748 (INFO)	||| Initing data transform of BTC historical data!
2022-06-11 17:12:19,750 (INFO)	||| ETL to obtain BTC historical data finished!
2022-06-12 11:59:54,972 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 11:59:56,941 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 11:59:56,944 (INFO)	||| ETL to obtain BTC historical data in USD value finished!
2022-06-12 12:00:43,450 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:00:44,585 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 12:00:44,596 (INFO)	||| ETL to obtain BTC historical data in USD value finished!
2022-06-12 12:00:44,598 (INFO)	||| test finished!
2022-06-12 12:00:44,600 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:00:46,006 (INFO)	||| Initing data transform of ETH historical data!
2022-06-12 12:00:46,014 (INFO)	||| ETL to obtain ETH historical data in USD value finished!
2022-06-12 12:00:46,016 (INFO)	||| test finished!
2022-06-12 12:00:46,019 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:00:46,746 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited!
2022-06-12 12:00:46,748 (INFO)	||| Initing data transform of AAVE historical data!
2022-06-12 12:00:46,757 (INFO)	||| ETL to obtain AAVE historical data in USD value finished!
2022-06-12 12:00:46,762 (INFO)	||| test finished!
2022-06-12 12:00:46,765 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:00:47,329 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited!
2022-06-12 12:00:47,331 (INFO)	||| Initing data transform of BCH historical data!
2022-06-12 12:00:47,340 (INFO)	||| ETL to obtain BCH historical data in USD value finished!
2022-06-12 12:00:47,345 (INFO)	||| test finished!
2022-06-12 12:00:47,348 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:00:47,891 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited!
2022-06-12 12:00:47,892 (INFO)	||| Initing data transform of BUSD historical data!
2022-06-12 12:00:47,896 (INFO)	||| ETL to obtain BUSD historical data in USD value finished!
2022-06-12 12:00:47,897 (INFO)	||| test finished!
2022-06-12 12:00:47,898 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:00:48,113 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited!
2022-06-12 12:00:48,115 (ERROR)	||| Extracting more columns from Alpha Vantage API than expected!
2022-06-12 12:00:48,116 (INFO)	||| Generic error in ETL's test, check the code!
2022-06-12 12:03:19,113 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:03:20,338 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 12:03:20,349 (INFO)	||| ETL to obtain BTC historical data in USD value finished!
2022-06-12 12:03:20,351 (INFO)	||| test finished!
2022-06-12 12:03:20,353 (INFO)	||| Initing extract of Alpha Vantage!
